Age,Candidate,Criminal_Case,District,Education,Liabilities,Party,State,Total_Assets,Winner,Year
55,Dr.K.P.Yadav, 3 ,JAUNPUR,Doctorate,"Rs 42,47,000",AAP,UTTAR PRADESH,"Rs 2,32,60,000",No,2014
33,Dr.Sanjivan Bind,0,JAUNPUR,Graduate,"Rs 5,00,000",IND,UTTAR PRADESH,"Rs 96,26,000",No,2014
40,Gulab Chand Dubey,0,JAUNPUR,12th Pass,"Rs 50,00,000",SHS,UTTAR PRADESH,"Rs 5,71,68,060",No,2014
30,Jogendra Prasad,0,JAUNPUR,Literate,Rs 0,IND,UTTAR PRADESH,"Rs 5,05,000",No,2014
64,Parasnath Yadav,0,JAUNPUR,12th Pass,Rs 0,SP,UTTAR PRADESH,"Rs 1,75,76,964",No,2014
34,Pramod Kumar Alias Pramod Bhai Pate, 1 ,JAUNPUR,Graduate,Rs 0,Samyak Parivartan Party,UTTAR PRADESH,"Rs 10,20,867",No,2014
50,Premchand Bind, 1 ,JAUNPUR,Graduate Professional,Rs 0,Pragatisheel Manav Samaj Party,UTTAR PRADESH,"Rs 5,12,750",No,2014
40,Rajesh Prajapati,0,JAUNPUR,12th Pass,Rs 0,Sarvshreshth Dal,UTTAR PRADESH,"Rs 20,80,000",No,2014
44,Ravi Kishan,0,JAUNPUR,Graduate,"Rs 1,16,00,969",INC,UTTAR PRADESH,"Rs 14,02,89,942",No,2014
36,Ravi Shankar Maurya,0,JAUNPUR,8th Pass,Rs 0,SUCI(C),UTTAR PRADESH,"Rs 5,25,373",No,2014
21,Ravikant Yadav,0,JAUNPUR,Graduate,Rs 0,IND,UTTAR PRADESH,"Rs 11,00,000",No,2014
39,Sarfaraj,0,JAUNPUR,10th Pass,Rs 0,Peace Party,UTTAR PRADESH,"Rs 1,39,93,500",No,2014
27,Shahabuddin, 6 ,JAUNPUR,8th Pass,"Rs 35,50,000",Rashtriya Ulama Council,UTTAR PRADESH,"Rs 71,81,000",No,2014
59,Subhash Pandey,0,JAUNPUR,Post Graduate,"Rs 21,38,85,564",BSP,UTTAR PRADESH,"Rs 37,85,54,105",No,2014
28,Vimal Kumar Yadav,0,JAUNPUR,Graduate,Rs 0,IND,UTTAR PRADESH,"Rs 12,70,000",No,2014
43,Yogish Chandra Dubey,0,JAUNPUR,Post Graduate,Rs 0,IND,UTTAR PRADESH,"Rs 1,01,000",No,2014
48,Kirti Vardhan Singh,0,GONDA,Post Graduate,"Rs 92,75,782",BJP,UTTAR PRADESH,"Rs 7,47,38,429",Yes,2014
27,Ajay Kumar Prabhakar,0,GONDA,Graduate Professional,Rs 0,Bahujan Mukti Party,UTTAR PRADESH,"Rs 60,000",No,2014
62,Akbar Ahmad Dumpy, 3 ,GONDA,Graduate,"Rs 17,84,507",BSP,UTTAR PRADESH,"Rs 2,66,07,824",No,2014
73,Beni Prasad Verma, 3 ,GONDA,Graduate Professional,Rs 0,INC,UTTAR PRADESH,"Rs 7,00,42,778",No,2014
36,Brijnandan Tiwari,0,GONDA,12th Pass,"Rs 18,30,000",IND,UTTAR PRADESH,"Rs 45,18,000",No,2014
73,Harinarayan Rajbhar,0,GHOSI,Literate,Rs 0,BJP,UTTAR PRADESH,"Rs 2,34,03,964",Yes,2014
59,Atul Kumar Singh Anjan,0,GHOSI,Graduate Professional,Rs 0,CPI,UTTAR PRADESH,"Rs 40,26,121",No,2014
46,Achhe Lal Gupta,0,GORAKHPUR,8th Pass,"Rs 6,00,000",IND,UTTAR PRADESH,"Rs 17,38,500",No,2014
41,Adityanath, 3 ,GORAKHPUR,Graduate,Rs 0,BJP,UTTAR PRADESH,"Rs 72,17,674",No,2014
39,Mahesh Kumar,0,GONDA,Post Graduate,Rs 0,Janvadi Party(Socialist),UTTAR PRADESH,"Rs 12,20,997",No,2014
26,Mashooq Ahmad,0,GONDA,8th Pass,"Rs 2,73,000",AAP,UTTAR PRADESH,"Rs 9,09,740",No,2014
41,Masood Alam Khan, 1 ,GONDA,Graduate,"Rs 14,41,000",Peace Party,UTTAR PRADESH,"Rs 94,14,800",No,2014
50,Nandita Shukla,0,GONDA,Post Graduate,"Rs 7,00,000",SP,UTTAR PRADESH,"Rs 1,33,43,497",No,2014
54,Badri Nath Yadav,0,GHOSI,10th Pass,"Rs 1,10,000",Rashtriya Congress(J) Party,UTTAR PRADESH,"Rs 9,88,500",No,2014
55,Dara Singh Chauhan, 2 ,GHOSI,10th Pass,"Rs 11,89,101",BSP,UTTAR PRADESH,"Rs 3,15,43,071",No,2014
47,Dr Shameem Abidi,0,GHOSI,Post Graduate,"Rs 57,30,528",Peace Party,UTTAR PRADESH,"Rs 4,30,61,200",No,2014
59,Dudhnath Chauhan,0,GHOSI,10th Pass,Rs 0,IND,UTTAR PRADESH,"Rs 26,62,000",No,2014
54,Ashok,0,GORAKHPUR,5th Pass,Rs 0,IND,UTTAR PRADESH,"Rs 6,99,500",No,2014
54,Astbhuja Prasad Tripathi, 4 ,GORAKHPUR,Graduate,"Rs 17,30,304",INC,UTTAR PRADESH,"Rs 2,55,60,068",No,2014
37,Faiz Ahamad Faizi, 2 ,GORAKHPUR,8th Pass,Rs 0,Peace Party,UTTAR PRADESH,"Rs 43,55,923",No,2014
